OBJECTID,NAME,TYPE,STATUS,EASEMENT,PROPERTY_OWNER
550,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
18,McIntire East Loop,Soft Surface,Existing,Complete,City
2625,,Shared Use Path,Proposed,In discussion,Many
2626,Monte Vista,Shared Use Path,Proposed,Complete,City
2628,,Shared Use Path,Proposed,In discussion,
2629,,Shared Use Path,Existing,In discussion,Cherry Hill
2630,,Shared Use Path,Existing,In discussion,Cherry Hill
2631,,Shared Use Path,Existing,In discussion,Cherry Hill
2632,,Shared Use Path,Proposed,In discussion,CRHA
1792,,Shared Use Path,Proposed,Complete,City
205,Greenleaf Park Path,Shared Use Path,Existing,Complete,City
10,Greenleaf - Walker School,Soft Surface,Existing,Complete,City Parks
1793,,Shared Use Path,Proposed,Complete,
685,Greenleaf Nature Trail,Soft Surface,Existing,Complete,City Parks
698,Greenleaf bridge approach,Soft Surface,Existing,Complete,City
588,Greenleaf Upper Loop,Soft Surface,Existing,Complete,City
15,250 Parallel,Shared Use Path,Proposed,Complete,City
535,McIntire-CHS coonnector,Shared Use Path,Existing,Complete,City
566,McIntire Park Nature Trail,Shared Use Path,Existing,Complete,City
570,McIntire Sewer Road,Soft Surface,Existing,Complete,City
1784,,Shared Use Path,Proposed,Complete,City
528,Azalea Entry West,Shared Use Path,Existing,Complete,City
2633,,Shared Use Path,Existing,Complete,Eagles Landing
1369,Meadowcreek,Soft Surface,Existing,Complete,City ROW
646,Forest Hills to Tonsler (Oak Ridge),Shared Use Path,Proposed,Complete,Keith Woodard
631,South First Street pipestem,Shared Use Path,Proposed,In discussion,CRHA
1788,,Shared Use Path,Proposed,In discussion,CRHA
941,,Shared Use Path,Proposed,Complete,City
49,Jordan - Pollocks,Shared Use Path,Proposed,Complete,City
387,Rivanna River,Shared Use Path,Proposed,Assessor,MAKCO
389,Rivanna River,Shared Use Path,Proposed,RTF,Lynch
533,McIntire Road - County Building,Shared Use Path,Proposed,Complete,Albemarle County
543,Meadowcreek Trail,Shared Use Path,Proposed,Complete,City
666,Meadowcreek,Shared Use Path,Proposed,Complete,City
2636,MeadowCreek,Soft Surface,Existing,Complete,Kneedler
686,Meadowcreek,Soft Surface,Existing,Complete,City
934,Southern Ventures,Shared Use Path,Proposed,In discussion,Southern Ventures
2637,,Shared Use Path,Proposed,,
2623,,Shared Use Path,Proposed,In discussion,Kaplan
569,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
558,McIntire Park Nature Trail,Soft Surface,Existing,Complete,City
2638,,Shared Use Path,Proposed,Complete,City
107,Rivanna Trail,Shared Use Path,Existing,Complete,City
1780,,Shared Use Path,Proposed,Complete,City
2639,,Soft Surface,Existing,Complete,City
2640,,Soft Surface,Existing,Complete,City
2641,,Soft Surface,Existing,Complete,City
2642,,Soft Surface,Existing,Complete,City
628,Meadowceek Trail,Soft Surface,Existing,Complete,City
220,Meadowcreek Gardens Park Path,Soft Surface,Existing,Complete,City Parks
206,Rives Park Path,Shared Use Path,Existing,Complete,City
1802,,Shared Use Path,Existing,Complete,City
2643,,Shared Use Path,Existing,Complete,City
2645,,Shared Use Path,Existing,Complete,City
687,Rives Park,Shared Use Path,Existing,Complete,City
1787,,Shared Use Path,Proposed,Complete,City
3043,,Shared Use Path,Proposed,Complete,City of Charlottesville
3044,,Shared Use Path,Proposed,In discussion,McDaniel
2635,,Shared Use Path,Proposed,Complete,City of Charlottesville
3045,,Shared Use Path,Proposed,In discussion,Rialto Beach
3046,,Shared Use Path,Proposed,In discussion,Belew
3047,,Shared Use Path,Proposed,In discussion,Otis Lee
3049,,Soft Surface,Proposed,Complete,City
3050,,Soft Surface,Proposed,Complete,City
3051,,Soft Surface,Proposed,Complete,City
3052,,Soft Surface,Proposed,Complete,City
3048,,Soft Surface,Existing,Complete,City
3053,southern ventures,Shared Use Path,Proposed,Will Not Allow,
3055,,Shared Use Path,Proposed,Proffer,Habitat
3056,Avon Yard,Soft Surface,Existing,Complete,City
1789,,Shared Use Path,Proposed,,
3057,,Shared Use Path,Proposed,Proffer,Habitat
938,,Shared Use Path,Existing,Complete,City
939,,Shared Use Path,Existing,Complete,City
3059,,,,Complete,
3060,,,,Complete,
3061,Meadow Brook Drive,Shared Use Path,Proposed,Complete,Alan Taylor (developer)
679,Venable School,Shared Use Path,Existing,Complete,City School Board
3062,,Shared Use Path,Proposed,,
3063,,Shared Use Path,Proposed,,
3064,,Shared Use Path,Proposed,,
271,Rivanna River Trail,Shared Use Path,Existing,Complete,PS2 Properties
3065,,Shared Use Path,Proposed,,
3066,,Shared Use Path,Proposed,,
3058,,Shared Use Path,Existing,,
3067,,Shared Use Path,Existing,,
33,Rock Creek,Shared Use Path,Proposed,Complete,Cherry Hill
3068,,Shared Use Path,Existing,,
3069,,Shared Use Path,Existing,,
3070,,Shared Use Path,Existing,,
3071,,Shared Use Path,Existing,,
3072,,Shared Use Path,Existing,,
